name,grades,score,ra,dec,ABmag_F444W,has_COWLS_counterpart,within_COWLS_footprint,code_COWLS
COS_30266,XXXXXXXX,0,150.08936574,2.2476029753,19.3907,False,True,
COS_31028,XXXXUUXX,0,150.12217257,2.2503816394,18.8092,False,True,
COS_33873,XXXXXXXX,0,150.13780547,2.258744562,21.1479,False,True,
COS_35990,XXUUUXXX,0,150.1177466,2.2667749395,18.895,True,True,COSJ100028+021600
COS_37893,XXXXUXXX,0,150.1365312,2.2744024748,18.7958,False,True,
COS_39166,XXXXXXXX,0,150.14804024,2.2762365861,20.3364,False,True,
COS_39528,XXUXXXXX,0,150.15122547,2.2780980876,19.2783,False,True,
COS_4203,XXXXXXXX,0,150.13561116,2.1208601991,20.7877,False,True,
COS_44336,XXXXXXXX,0,150.18870406,2.2966733685,18.208,False,True,
COS_44897,XXXXXXXX,0,150.12218242,2.2984411547,18.4661,False,True,
COS_44906,XXUXXXXU,0,150.11962588,2.2959501612,20.3028,False,True,
COS_46000,XXXUXXXX,0,150.09405174,2.2990911429,19.6363,False,True,
COS_47434,XXXXXXXX,0,150.07878945,2.3028019999,19.4162,False,True,
COS_4855,XXXXXXXX,0,150.13388844,2.1248061151,24.9879,False,True,
COS_49075,XXXXXXXX,0,150.08754329,2.3099286727,19.3558,False,True,
COS_49636,XXXXXXXX,0,150.12642301,2.3121170883,18.4228,False,True,
COS_49696,XXXXXXXX,0,150.09403766,2.3131636067,20.0282,False,True,
COS_50102,XXXXXXXU,0,150.15624062,2.3098871621,21.8924,False,True,
COS_50103,XXXXXXXX,0,150.10364945,2.3145986914,19.0034,False,True,
COS_50566,XXXXXXXU,0,150.09474093,2.3136352178,20.0443,False,True,
COS_50923,XXXXXXXU,0,150.1674054,2.3158139729,20.101,False,True,
COS_52050,XXXXXXXX,0,150.1371108,2.3174266069,20.2396,False,True,
COS_5248,XXXXXXXX,0,150.12390705,2.1447271793,19.1182,False,True,
COS_52790,XXXXXXXX,0,150.05631157,2.3214192,19.5477,False,True,
COS_53391,XXXXXXXU,0,150.08773828,2.3249633853,20.3265,False,True,
COS_53453,XXXXXXXX,0,150.07390628,2.3256305567,17.9681,False,True,
COS_53700,XXXXUUXX,0,150.18925544,2.3256554085,18.4758,False,True,
COS_54625,XXXXXXXX,0,150.05814664,2.3277274431,20.2945,False,True,
COS_55375,XXXXXXXX,0,150.16603753,2.331968808,19.1623,False,True,
COS_56466,XXXXXXXX,0,150.09375283,2.3339446268,19.4562,False,True,
COS_58026,XXXXXXXX,0,150.05465833,2.3398815328,19.0588,True,True,COSJ100013+022023
COS_60122,XXXXXXXX,0,150.10355238,2.3460865509,19.503,False,True,
COS_60680,XXXXXXXX,0,150.09658043,2.3508658824,18.584,False,True,
COS_6127,XXXXXXXX,0,150.05646855,2.1401986761,20.4214,False,True,
COS_61768,XXXXXXUU,0,150.05316638,2.3549023963,19.3878,False,True,
COS_6219,XXXXXXXX,0,150.09519404,2.1418838413,19.6777,False,True,
COS_62617,XXXXXXXX,0,150.17569488,2.3586996908,17.6776,False,True,
COS_63300,XXXXXXXX,0,150.12368381,2.3582530841,18.6274,False,True,
COS_64098,XXXXXXXX,0,150.16275756,2.3590671572,20.3161,False,True,
COS_64830,XXXXXXXX,0,150.12999553,2.3646600767,19.228,False,True,
COS_67707,XXXXXXXX,0,150.19639524,2.3715540538,19.6984,False,True,
COS_70793,XXXXXXXX,0,150.20174636,2.382285328,19.9001,False,True,
COS_72338,XXXXXXXX,0,150.07841849,2.3895723414,19.5934,False,True,
COS_72613,XXXXXXXX,0,150.10568616,2.3991166035,17.477,False,True,
COS_73343,XXXXXXXX,0,150.18216692,2.394862229,19.4286,False,True,
COS_74799,XXXXXXXX,0,150.10834093,2.4039310486,18.1735,False,True,
COS_75369,XXXXXXXX,0,150.16607591,2.4066301891,18.9334,False,True,
COS_75471,XXXXXXXX,0,150.1488373,2.4082029218,19.2296,False,True,
COS_75923,XXXXUXXX,0,150.20288351,2.403858255,21.1786,False,True,
COS_75981,XXXXXXXX,0,150.15109483,2.4034505623,20.4495,False,True,
COS_77059,XXXXXXXX,0,150.08581682,2.4085238864,19.3601,False,True,
COS_77113,XXXXXXXX,0,150.07238667,2.411419527,19.4369,False,True,
